Classification,Attachment Count,Attachment Extension,Email From,Email Subject
NotSpam,0,"","John the classic Doe <john.doe@example.com>","Meeting Tomorrow"
Spam,2,"pdf,ics","Xavier Exampler <xavier@example.net>","Claim Your Prize Now!"
NotSpam,1,"docx","info@company.com","Weekly Newsletter"
Spam,,,"\"How to deal with toxic employees\" <campaign@mail.hrtrainings.com>","Managing Toxic & Other employees who have attitude issues"
Spam,,,""No reply" <noreply@lottery.org>","You've Won $1000000!"
NotSpam,3,"png,png,pdf","Jane Smith Santos Rivadeneira <jane.smith@example.com>","Photos from the Event ;)"
Spam,1,"zip","support@pharmacy.biz","Get Viagra for Less, and obtain more"
NotSpam,0,"","info@newsletter.com","Special Offer Inside"
Spam,0,"","prince@nigeria.com","Help Needed Urgently"
NotSpam,2,"pdf,jpg","marketing@company.com","New Product Catalog"
NotSpam,0,"","contact@website.com","Your Order Confirmation"
Spam,1,"pdf","deals@shop.com","Exclusive Discount Inside"
NotSpam,0,"","service@bank.com","Statement of Account"
Spam,0,"","updates@social.net","See Who Unfollowed You"
NotSpam,,,"support@software.com","Product Update Available"
Spam,3,"exe, exe, exe","bill@microsoft.com","Activate Windows Now!"
NotSpam,1,"docx","hr@company.com","Job Application Status"
NotSpam,0,"","info@newsletter.com","Weekly Update"
NotSpam,2,"pdf","marketing@company.com","New Product Launch"
NotSpam,,,"contact@website.com","Your Inquiry Response"
NotSpam,0,"","billing@service.com","Payment Confirmation"
NotSpam,1,"docx","hr@company.com","Job Application Confirmation"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
NotSpam,2,"pdf,ics","sales@ecommerce.com","Your Order Shipment"
NotSpam,0,"","info@conference.org","Event Reminder: Next Week"
NotSpam,0,"","support@software.com","Product Update Available"
Spam,0,"","cupones@descuentos.com","¡Obtén cupones de descuento instantáneos ahora mismo!"
Spam,0,"","encuestas@opiniones.com","Gana dinero extra completando nuestras encuestas en línea"
Spam,2,"pdf,ics","ofertas@promociones.com","¡Aprovecha nuestras nuevas ofertas de temporada y ahorra mucho más!"
NotSpam,0,"","info@empresa.com","¡Anuncio importante sobre nuestros nuevos productos!"
NotSpam,1,"pdf, ics","clientes@tienda.com","Confirmación de compra y detalle de factura adjunto"
NotSpam,0,"","soporte@software.com","Actualización importante: Nueva versión disponible"
NotSpam,0,"","info@boletin.com","¡Suscríbete ahora para recibir nuestras últimas noticias!"
NotSpam,2,"ics, ics","ventas@empresa.com","Catálogo de productos actualizado para esta temporada"
NotSpam,0,"","contacto@sitio.com","Respuesta a tu consulta sobre nuestros servicios"
NotSpam,1,"docx","rrhh@empresa.com","Confirmación de entrevista y detalles de posición"
NotSpam,0,"","noticias@sitio.com","¡Únete a nuestra comunidad y mantente informado!"
NotSpam,2,"pdf","ventas@ecommerce.com","Detalle de tu pedido y fecha de entrega estimada"
NotSpam,1,"pdf","customerservice@retail.com","Return Authorization"
NotSpam,0,"","hello@company.com","Welcome to Our Platform"
NotSpam,0,"","billing@company.com","Payment Receipt"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Updates"
NotSpam,0,"","support@service.com","Product Demo Invitation"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
NotSpam,2,"pdf, png","marketing@company.com","New Campaign Launch"
NotSpam,0,"","support@service.com","Help Desk Ticket Confirmation"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Updates"
NotSpam,0,"","billing@company.com","Invoice Attached"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
NotSpam,2,"pdf, docx","marketing@company.com","Product Launch Announcement"
NotSpam,0,"","support@service.com","Issue Resolved: Ticket #12345"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Updates"
NotSpam,1,"pdf","sales@ecommerce.com","Your Receipt Attached"
NotSpam,0,"","hello@company.com","Thank You for Signing Up"
NotSpam,0,"","billing@company.com","Payment Due Reminder"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
NotSpam,2,"pdf, pdf","marketing@company.com","New Feature Release"
NotSpam,0,"","support@service.com","Your Support Request Status"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Updates"
NotSpam,1,"pdf","sales@ecommerce.com","Your Invoice"
NotSpam,0,"","hello@company.com","Welcome Aboard!"
NotSpam,0,"","billing@company.com","Invoice Reminder"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
NotSpam,2,"pdf, ics","marketing@company.com","New Update Available"
NotSpam,0,"","support@service.com","Issue Resolved: Ticket #54321"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Updates"
NotSpam,0,"","billing@company.com","Payment Confirmed"
NotSpam,0,"","hello@company.com","Welcome to Our Community"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
NotSpam,2,"pdf","marketing@company.com","Latest News Release"
NotSpam,0,"","support@service.com","Query Resolution: Ticket #98765"
NotSpam,0,"","info@conference.org","Event Reminder: Tomorrow"
Spam,1,"pdf","support@service.com","Important Account Update"
NotSpam,0,"","info@travelagency.com","Travel Deals Inside"
NotSpam,1,"pdf","customerservice@retail.com","Return Policy Update"
Spam,0,"","newsletter@blog.com","New Article Alert"
NotSpam,0,"","support@website.com","Password Reset Request"
Spam,2,"pdf,ics","lottery@winners.com","Claim Your Jackpot Prize"
NotSpam,0,"","billing@company.com","Payment Receipt"
Spam,0,"","noreply@survey.com","Win a Free iPhone!"
NotSpam,1,"pdf","support@software.com","Software Update Available"
Spam,0,"","urgent@help.com","You've Been Hacked!"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Updates"
Spam,3,"zip","deals@shop.com","Exclusive Offer Inside"
NotSpam,0,"","noreply@bank.com","Your Transaction Receipt"
Spam,1,"docx","support@pharmacy.biz","Get Cialis for Less"
NotSpam,0,"","hello@company.com","Welcome to Our Platform"
Spam,0,"","prize@lottery.org","You've Won $10000!"
NotSpam,2,"pdf,ics","marketing@company.com","New Campaign Launch"
NotSpam,0,"","support@service.com","Help Desk Ticket Confirmation"
Spam,0,"","survey@feedback.net","Win a Gift Card Now!"
NotSpam,1,"pdf","sales@ecommerce.com","Your Order Confirmation"
Spam,0,"","scam@alert.com","Verify Your Account Now!"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
Spam,1,"pdf","debt@settlement.net","Get Out of Debt Now!"
NotSpam,0,"","info@conference.org","Event Agenda: Tomorrow"
Spam,0,"","noreply@offers.org","You've Won a Cruise Vacation!"
NotSpam,2,"pdf","billing@company.com","Invoice Attached"
Spam,0,"","noreply@survey.com","Win a Free Trip to Paris!"
NotSpam,0,"","support@software.com","Software Update Available"
Spam,3,"exe","malware@virus.com","You've Been Infected!"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Newsletter"
Spam,2,"zip","deals@shop.com","Exclusive Deal Inside"
NotSpam,0,"","noreply@bank.com","Your Account Statement"
Spam,1,"docx","support@pharmacy.biz","Get Viagra Now!"
NotSpam,0,"","hello@company.com","Thank You for Signing Up"
Spam,0,"","prize@lottery.org","Congratulations You've Won!"
NotSpam,2,"pdf","marketing@company.com","Product Launch Announcement"
NotSpam,0,"","support@service.com","Issue Resolved: Ticket #12345"
Spam,0,"","survey@feedback.net","Claim Your Reward Now!"
NotSpam,1,"pdf","sales@ecommerce.com","Your Receipt Attached"
Spam,0,"","scam@alert.com","Account Verification Required"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
Spam,1,"pdf","debt@settlement.net","Reduce Your Debt Today!"
NotSpam,0,"","info@conference.org","Last Minute Event Reminder"
Spam,0,"","noreply@offers.org","You've Won a Shopping Spree!"
NotSpam,2,"pdf","billing@company.com","Payment Due Reminder"
Spam,0,"","noreply@survey.com","Claim Your Free Gift Now!"
NotSpam,0,"","support@software.com","Software Update Available"
Spam,3,"exe","malware@virus.com","Your Computer is Infected!"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Newsletter"
Spam,2,"zip,png","deals@shop.com","Exclusive Savings Inside"
NotSpam,0,"","noreply@bank.com","Your New Account Details"
Spam,1,"docx","support@pharmacy.biz","Get Cialis Now!"
NotSpam,0,"","hello@company.com","Welcome Aboard!"
Spam,0,"","prize@lottery.org","You're a Winner!"
NotSpam,2,"pdf","marketing@company.com","New Feature Release"
NotSpam,0,"","support@service.com","Your Support Request Status"
Spam,0,"","survey@feedback.net","Take Our Survey Now!"
Spam,2,"exe","virus@alerta.com","¡Tu computadora está infectada! Descarga nuestro antivirus ahora"
Spam,0,"","ofertas@promociones.com","¡Recibe las mejores ofertas directamente en tu bandeja de entrada!"
Spam,1,"docx","farmacia@descuentos.com","Aprovecha nuestros precios especiales en medicamentos genéricos"
Spam,0,"","loteria@premios.com","¡Has ganado un premio sorpresa! Reclámalo ahora"
Spam,0,"","suscripcion@ofertas.com","¡Suscríbete para recibir descuentos exclusivos y promociones especiales!"
Spam,3,"zip, doc, png","ofertas@descuentos.com","¡Descarga nuestro paquete de descuentos y ahorra aún más!"
Spam,0,"","notificaciones@sorteos.com","¡Tu participación ha sido seleccionada! Reclama tu premio"
Spam,1,"pdf","promociones@ventas.com","¡Descarga nuestra guía de compras para obtener descuentos adicionales!"
Spam,0,"","cupones@ofertas.com","¡Cupones exclusivos disponibles por tiempo limitado!"
NotSpam,1,"pdf","sales@ecommerce.com","Your Invoice"
Spam,0,"","scam@alert.com","Account Update Required"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
Spam,1,"pdf","debt@settlement.net","Consolidate Your Debt Now!"
NotSpam,0,"","info@conference.org","Event Details: Tomorrow"
Spam,0,"","noreply@offers.org","You've Won a Luxury Getaway!"
NotSpam,2,"pdf","billing@company.com","Invoice Reminder"
Spam,0,"","noreply@survey.com","Claim Your Free Prize Now!"
NotSpam,0,"","support@software.com","Software Update Available"
Spam,3,"exe","malware@virus.com","Your System is Infected!"
NotSpam,0,"","newsletter@updates.com","Subscribe to Our Newsletter"
Spam,2,"zip","deals@shop.com","Special Offer Inside"
NotSpam,0,"","noreply@bank.com","Your Recent Transactions"
Spam,1,"docx","support@pharmacy.biz","Get Viagra Today!"
NotSpam,0,"","hello@company.com","Welcome to Our Community"
Spam,0,"","prize@lottery.org","You've Hit the Jackpot!"
NotSpam,2,"pdf,ics","marketing@company.com","New Update Available"
NotSpam,0,"","support@service.com","Issue Resolved: Ticket #54321"
Spam,0,"","promociones@ofertas.com","¡Grandes descuentos en productos de tecnología esta temporada!"
Spam,1,"pdf","info@loteria.com","Gana un millón de dólares con nuestra lotería semanal"
Spam,0,"","premios@sorteos.com","¡Felicidades! Eres el ganador de nuestro sorteo mensual"
Spam,2,"zip,ics","ofertas@descuentos.com","¡Descarga nuestro catálogo de ofertas exclusivas ahora!"
Spam,0,"","cupones@rebajas.com","¡Obtén cupones de descuento para tus compras en línea!"
Spam,1,"pdf","info@seguros.com","Aprovecha nuestra oferta especial en seguros de vida"
Spam,0,"","encuestas@opiniones.com","Gana una tarjeta de regalo completando nuestra encuesta"
Spam,0,"","ofertas@compras.com","¡Ofertas de último minuto! No te las pierdas"
Spam,0,"","encuestas@opiniones.com","Gana un viaje gratis compartiendo tu opinión con nosotros"
Spam,2,"pdf","ofertas@promociones.com","¡Nuevas ofertas disponibles! Descarga el folleto ahora"
Spam,3,"zip,pdf,png","descargas@ofertas.com","¡Descarga nuestro paquete especial de regalo y sorpresas!"
Spam,0,"","notificaciones@loteria.com","¡Eres nuestro nuevo ganador! Reclama tu premio hoy mismo"
Spam,1,"pdf","promociones@rebajas.com","¡Descubre nuestras ofertas imperdibles para este fin de semana!"
NotSpam,0,"","eventos@organizador.com","Recordatorio de evento: ¡No te lo pierdas!"
NotSpam,0,"","soporte@software.com","Actualización de seguridad importante: Instalar ahora"
NotSpam,1,"pdf","devoluciones@tienda.com","Instrucciones para devolver productos y obtener reembolso"
NotSpam,0,"","contacto@empresa.com","¡Contáctanos para cualquier pregunta o solicitud!"
Spam,0,"","loteria@premios.com","¡Tu boleto ha sido seleccionado como ganador! Reclama tu premio"
Spam,0,"","ofertas@compras.com","¡Recibe descuentos especiales solo para suscriptores!"
Spam,1,"pdf","viajes@ofertas.com","¡Reserva tus vacaciones con nosotros y obtén un descuento del 50%!"
Spam,0,"","suscripcion@promociones.com","¡Regístrate para recibir promociones exclusivas y sorteos emocionantes!"
NotSpam,0,"","facturacion@servicio.com","Confirmación de pago procesado con éxito"
NotSpam,0,"","boletin@noticias.com","¡Regístrate para recibir nuestro boletín semanal gratuito!"
NotSpam,0,"","soporte@servicio.com","¡Tu solicitud de ayuda ha sido recibida y será atendida pronto!"
NotSpam,0,"pdf","boletin@noticias.com","¡Últimas noticias: Mantente al día con lo que está pasando!"
NotSpam,2,"pdf","ventas@tienda.com","Confirmación de compra y detalles de envío"
NotSpam,0,"","contacto@empresa.com","¡Estamos aquí para ayudarte! Contáctanos ahora mismo"
NotSpam,0,"","facturacion@servicio.com","Estado de cuenta: Tu factura está lista para descargar"
NotSpam,1,"pdf","rrhh@empresa.com","Confirmación de entrevista y detalles adicionales"
NotSpam,0,"","Noticias Lindas <boletin@noticias.com>","¡Suscríbete ahora para recibir nuestras últimas actualizaciones!"
NotSpam,2,"pdf,png","ventas@ecommerce.com","Recibo de tu compra y detalles de envío"
NotSpam,0,"","eventos@organizador.com","Recordatorio de evento: Mañana es el gran día"
NotSpam,0,"","soporte@software.com","Actualización de software disponible: Mejoras y correcciones"
NotSpam,1,"pdf","devoluciones@tienda.com","Proceso de devolución exitoso: Detalles y próximos pasos"
NotSpam,0,"","contacto@empresa.com","¡Nos encantaría escuchar tus comentarios! Contáctanos"
NotSpam,0,"","facturacion@servicio.com","Tu factura ha sido generada: Detalles adjuntos"
NotSpam,0,"","boletin@noticias.com","¡No te pierdas nuestras últimas noticias y actualizaciones!"
NotSpam,2,"pdf, ics","ventas@tienda.com","Confirmación de pedido y detalles de entrega"
NotSpam,0,"","contacto@empresa.com","¡Haznos saber si tienes alguna pregunta o inquietud!"
NotSpam,0,"","facturacion@servicio.com","Recibo de pago: Confirma tu transacción"
NotSpam,1,"pdf","rrhh@empresa.com","Confirmación de entrevista y detalles de proceso de contratación"
NotSpam,0,"","boletin@noticias.com","¡Suscríbete para recibir nuestras noticias más recientes y exclusivas!"
NotSpam,2,"pdf","ventas@ecommerce.com","Detalle de tu pedido y fecha de entrega estimada"
NotSpam,0,"","eventos@organizador.com","Recordatorio de evento: ¡No te lo pierdas!"
NotSpam,0,"","soporte@software.com","Actualización de seguridad importante: Instalar ahora"
NotSpam,1,"pdf","devoluciones@tienda.com","Instrucciones para devolver productos y obtener reembolso"
NotSpam,0,"","contacto@empresa.com","¡Contáctanos para cualquier pregunta o solicitud!"
NotSpam,0,"","facturacion@servicio.com","Confirmación de pago procesado con éxito"
NotSpam,0,"","boletin@noticias.com","¡Regístrate para recibir nuestro boletín semanal gratuito!"
NotSpam,0,"","soporte@servicio.com","¡Tu solicitud de ayuda ha sido recibida y será atendida pronto!"
NotSpam,0,,"boletin@noticias.com","¡Últimas noticias: Mantente al día con lo que está pasando!"
Spam,0,,"carmen.fernandez@eccsaseguros.com", "Atte.-__BEIERSDORF _S.A.C_-Seguros_de_Cr"
NotSpam,2,"pdf, pdf","ventas@tienda.com","Confirmación de compra y detalles de envío"
NotSpam,0,"","contacto@empresa.com","¡Estamos aquí para ayudarte! Contáctanos ahora mismo"
NotSpam,0,"","facturacion@servicio.com","Estado de cuenta: Tu factura está lista para descargar"
NotSpam,1,"pdf","rrhh@empresa.com","Confirmación de entrevista y detalles adicionales"
NotSpam,0,"","boletin@noticias.com","¡Suscríbete ahora para recibir nuestras últimas actualizaciones!"
NotSpam,2,"pdf, ics","ventas@ecommerce.com","Recibo de tu compra y detalles de envío"
NotSpam,0,"","eventos@organizador.com","Recordatorio de evento: Mañana es el gran día"
NotSpam,0,"","soporte@software.com","Actualización de software disponible: Mejoras y correcciones"
NotSpam,1,"pdf","devoluciones@tienda.com","Proceso de devolución exitoso: Detalles y próximos pasos"
NotSpam,0,"","newsletter@mail.com","Subscribe to Our Newsletter"
Spam,0,"","noreply@offers.org","You've Won a Holiday Package!"
NotSpam,2,"pdf, png","sales@ecommerce.com","Your Invoice Attached"
Spam,0,"","debt@settlement.net","Get Out of Debt Fast"
NotSpam,0,"","info@company.com","Monthly Report"
NotSpam,1,"pdf","clientservice@website.com","Your Subscription Renewal"
NotSpam,0,"","support@software.com","Software Maintenance Update"
NotSpam,0,"","contacto@empresa.com","¡Nos encantaría escuchar tus comentarios! Contáctanos"
NotSpam,0,"","facturacion@servicio.com","Tu factura ha sido generada: Detalles adjuntos"
NotSpam,0,"","boletin@noticias.com","¡No te pierdas nuestras últimas noticias y actualizaciones!"
NotSpam,2,"pdf","ventas@tienda.com","Confirmación de pedido y detalles de entrega"
NotSpam,0,"","contacto@empresa.com","¡Haznos saber si tienes alguna pregunta o inquietud!"
NotSpam,1,"xlsx","facturacion@servicio.com","Recibo de pago: Confirma tu transacción"
NotSpam,1,"pdf","rrhh@empresa.com","Confirmación de entrevista y detalles de proceso de contratación"
NotSpam,0,"","boletin@noticias.com","¡Suscríbete para recibir nuestras noticias más recientes y exclusivas!"
NotSpam,0,"","eventos@organizador.com","Recordatorio de evento: Mañana es el gran día"
NotSpam,0,"","soporte@software.com","Actualización de seguridad importante: Instalar ahora"
NotSpam,1,"pdf","devoluciones@tienda.com","Instrucciones para devolver productos y obtener reembolso"
NotSpam,0,"","contacto@empresa.com","¡Contáctanos para cualquier pregunta o solicitud!"
NotSpam,0,"","facturacion@servicio.com","Confirmación de pago procesado con éxito"
Spam, 1, "ics","vitavaldez@homethistoday.com", "Invitation: Stephen HauberO`YÔ Heute ist der Tagflhar lhre RÃckmeldum@ Mon M"
Spam,1,"pdf","gabriela.fernandes@cparitopex.com", "S&OP to integrated business planning summit"
Spam,0,,"pranay.c@keyence.co.in","Introducing high accuracy and high speed 2D Micrometer"
Spam,0,,"no-reply@kickfire.com","Incomplete Profile: beiersdorf.com"
Spam,1,"pdf","marketing@products.com","Special Offers Inside"
Spam,0,"","offers@business.com","Exclusive Deals Just for You"
